Users_Followers,Post_Length,Number of Mentions (@),Number of Hashtags (#),# of Favorites,# of Boosts,Post Time,Post has Media
59,27,1,0,0,0,2024-11-20 17:26:42+00:00,0
244981,240,1,0,0,0,2024-11-20 16:40:00+00:00,0
2129,69,0,0,0,0,2024-11-20 17:26:40.118000+00:00,0
15761,60,1,0,0,0,2024-11-20 17:26:27+00:00,0
740,113,1,0,0,0,2024-11-20 17:26:38+00:00,0
15,65,1,0,0,0,2024-11-20 17:26:35+00:00,0
23,88,1,1,0,0,2024-11-20 17:26:33+00:00,0
89,0,0,0,0,0,2024-11-20 17:26:34.594000+00:00,1
194,55,1,0,0,0,2024-11-20 17:26:31+00:00,0
706,153,1,0,0,0,2024-11-20 17:26:34+00:00,0
2093,536,0,1,0,0,2024-11-20 17:26:31+00:00,0
541,156,1,0,0,0,2024-11-20 17:26:34+00:00,0
531,215,1,0,0,0,2024-11-20 17:26:00+00:00,0
814,157,1,0,0,0,2024-11-20 17:26:32+00:00,0
1360,293,1,0,0,0,2024-11-20 17:26:29.959000+00:00,0
57,29,1,0,0,0,2024-11-20 17:26:18+00:00,0
1380,485,0,0,0,0,2024-11-20 17:26:25+00:00,1
1183,240,1,0,0,0,2024-11-20 17:26:27+00:00,0
244981,253,1,0,0,0,2024-11-20 16:00:00+00:00,0
339,25,0,0,1,0,2024-11-20 17:26:25.929000+00:00,0
1360,452,1,0,0,0,2024-11-20 17:25:25.907000+00:00,0
3755,284,1,0,0,0,2024-11-20 17:08:30+00:00,0
336,245,1,0,0,0,2024-11-20 17:32:00+00:00,1
538,77,0,0,0,0,2024-11-20 17:30:27+00:00,0
446,20,0,2,0,0,2024-11-20 17:31:32+00:00,1
7581,545,0,0,0,0,2024-11-20 17:31:45+00:00,0
37,117,1,1,0,0,2024-11-20 17:31:44+00:00,0
270,109,0,1,0,0,2024-11-20 17:31:53+00:00,0
107,36,0,0,0,0,2024-11-20 17:31:55+00:00,0
1011,358,0,3,0,0,2024-11-20 17:31:53+00:00,1
2303,237,0,0,0,0,2024-11-20 17:31:46.664000+00:00,0
2482,0,0,0,0,0,2024-11-20 17:31:49+00:00,1
2990,281,1,0,0,0,2024-11-20 17:31:47+00:00,0
172,300,2,0,0,0,2024-11-20 17:31:44+00:00,0
1099,16,1,0,0,0,2024-11-20 17:31:25+00:00,0
190,210,1,0,0,0,2024-11-20 17:31:47+00:00,0
4,282,1,0,0,0,2024-11-20 17:31:47+00:00,0
344,241,0,0,0,0,2024-11-20 17:31:46+00:00,0
1015,89,0,1,0,0,2024-11-20 17:31:41+00:00,0
616,98,1,0,0,0,2024-11-20 17:31:44+00:00,0
1876,39,1,0,0,0,2024-11-20 17:31:41+00:00,0
2864,54,0,1,0,0,2024-11-20 17:31:40+00:00,0
142,33,0,0,0,0,2024-11-20 17:31:38+00:00,0
309,183,2,0,0,0,2024-11-20 17:31:38+00:00,0
783,34,1,0,0,0,2024-11-20 17:31:37+00:00,0
140,32,0,0,0,0,2024-11-20 17:31:24+00:00,1
11,131,1,0,0,0,2024-11-20 17:31:32+00:00,0
